======================================================================
ALL submodules inside cv2.model.flow (CausalMaskedDiffWithXvec)
======================================================================
  flow.                                                   | CausalMaskedDiffWithXvec            | 112.55M
  flow.encoder.encoders.5.self_attn.linear_k              | Linear                              | 0.26M
  flow.encoder.encoders.5.self_attn.linear_v              | Linear                              | 0.26M
  flow.encoder.encoders.5.self_attn.linear_out            | Linear                              | 0.26M
  flow.encoder.encoders.5.self_attn.dropout               | Dropout                             | 0.00M
  flow.encoder.encoders.5.self_attn.linear_pos            | Linear                              | 0.26M
  flow.encoder.encoders.5.feed_forward                    | PositionwiseFeedForward             | 2.10M
  flow.encoder.encoders.5.feed_forward.w_1                | Linear                              | 1.05M
  flow.encoder.encoders.5.feed_forward.dropout            | Dropout                             | 0.00M
  flow.encoder.encoders.5.feed_forward.w_2                | Linear                              | 1.05M
  flow.encoder.encoders.5.norm_ff                         | LayerNorm                           | 0.00M
  flow.encoder.encoders.5.norm_mha                        | LayerNorm                           | 0.00M
  flow.encoder.encoders.5.dropout                         | Dropout                             | 0.00M
  flow.encoder.up_layer                                   | Upsample1D                          | 1.31M
  flow.encoder.up_layer.conv                              | Conv1d                              | 1.31M
  flow.encoder.up_embed                                   | LinearNoSubsampling                 | 0.26M
  flow.encoder.up_embed.out                               | Sequential                          | 0.26M
  flow.encoder.up_embed.out.0                             | Linear                              | 0.26M
  flow.encoder.up_embed.out.1                             | LayerNorm                           | 0.00M
  flow.encoder.up_embed.out.2                             | Dropout                             | 0.00M
  flow.encoder.up_embed.pos_enc                           | EspnetRelPositionalEncoding         | 0.00M
  flow.encoder.up_embed.pos_enc.dropout                   | Dropout                             | 0.00M
  flow.encoder.up_encoders                                | ModuleList                          | 13.66M
  flow.encoder.up_encoders.0                              | ConformerEncoderLayer               | 3.42M
  flow.encoder.up_encoders.0.self_attn                    | RelPositionMultiHeadedAttention     | 1.31M
  flow.encoder.up_encoders.0.self_attn.linear_q           | Linear                              | 0.26M
  flow.encoder.up_encoders.0.self_attn.linear_k           | Linear                              | 0.26M
  flow.encoder.up_encoders.0.self_attn.linear_v           | Linear                              | 0.26M
  flow.encoder.up_encoders.0.self_attn.linear_out         | Linear                              | 0.26M
  flow.encoder.up_encoders.0.self_attn.dropout            | Dropout                             | 0.00M
  flow.encoder.up_encoders.0.self_attn.linear_pos         | Linear                              | 0.26M
  flow.encoder.up_encoders.0.feed_forward                 | PositionwiseFeedForward             | 2.10M
  flow.encoder.up_encoders.0.feed_forward.w_1             | Linear                              | 1.05M
  flow.encoder.up_encoders.0.feed_forward.dropout         | Dropout                             | 0.00M
  flow.encoder.up_encoders.0.feed_forward.w_2             | Linear                              | 1.05M
  flow.encoder.up_encoders.0.norm_ff                      | LayerNorm                           | 0.00M
  flow.encoder.up_encoders.0.norm_mha                     | LayerNorm                           | 0.00M
  flow.encoder.up_encoders.0.dropout                      | Dropout                             | 0.00M
  flow.encoder.up_encoders.1                              | ConformerEncoderLayer               | 3.42M
  flow.encoder.up_encoders.1.self_attn                    | RelPositionMultiHeadedAttention     | 1.31M
  flow.encoder.up_encoders.1.self_attn.linear_q           | Linear                              | 0.26M
  flow.encoder.up_encoders.1.self_attn.linear_k           | Linear                              | 0.26M
  flow.encoder.up_encoders.1.self_attn.linear_v           | Linear                              | 0.26M
  flow.encoder.up_encoders.1.self_attn.linear_out         | Linear                              | 0.26M
  flow.encoder.up_encoders.1.self_attn.dropout            | Dropout                             | 0.00M
  flow.encoder.up_encoders.1.self_attn.linear_pos         | Linear                              | 0.26M
  flow.encoder.up_encoders.1.feed_forward                 | PositionwiseFeedForward             | 2.10M
  flow.encoder.up_encoders.1.feed_forward.w_1             | Linear                              | 1.05M
  flow.encoder.up_encoders.1.feed_forward.dropout         | Dropout                             | 0.00M
  flow.encoder.up_encoders.1.feed_forward.w_2             | Linear                              | 1.05M
  flow.encoder.up_encoders.1.norm_ff                      | LayerNorm                           | 0.00M
  flow.encoder.up_encoders.1.norm_mha                     | LayerNorm                           | 0.00M
  flow.encoder.up_encoders.1.dropout                      | Dropout                             | 0.00M
  flow.encoder.up_encoders.2                              | ConformerEncoderLayer               | 3.42M
  flow.encoder.up_encoders.2.self_attn                    | RelPositionMultiHeadedAttention     | 1.31M
  flow.encoder.up_encoders.2.self_attn.linear_q           | Linear                              | 0.26M
  flow.encoder.up_encoders.2.self_attn.linear_k           | Linear                              | 0.26M
  flow.encoder.up_encoders.2.self_attn.linear_v           | Linear                              | 0.26M
  flow.encoder.up_encoders.2.self_attn.linear_out         | Linear                              | 0.26M
  flow.encoder.up_encoders.2.self_attn.dropout            | Dropout                             | 0.00M
  flow.encoder.up_encoders.2.self_attn.linear_pos         | Linear                              | 0.26M
  flow.encoder.up_encoders.2.feed_forward                 | PositionwiseFeedForward             | 2.10M
  flow.encoder.up_encoders.2.feed_forward.w_1             | Linear                              | 1.05M
  flow.encoder.up_encoders.2.feed_forward.dropout         | Dropout                             | 0.00M
  flow.encoder.up_encoders.2.feed_forward.w_2             | Linear                              | 1.05M
  flow.encoder.up_encoders.2.norm_ff                      | LayerNorm                           | 0.00M
  flow.encoder.up_encoders.2.norm_mha                     | LayerNorm                           | 0.00M
  flow.encoder.up_encoders.2.dropout                      | Dropout                             | 0.00M
  flow.encoder.up_encoders.3                              | ConformerEncoderLayer               | 3.42M
  flow.encoder.up_encoders.3.self_attn                    | RelPositionMultiHeadedAttention     | 1.31M
  flow.encoder.up_encoders.3.self_attn.linear_q           | Linear                              | 0.26M
  flow.encoder.up_encoders.3.self_attn.linear_k           | Linear                              | 0.26M
  flow.encoder.up_encoders.3.self_attn.linear_v           | Linear                              | 0.26M
  flow.encoder.up_encoders.3.self_attn.linear_out         | Linear                              | 0.26M
  flow.encoder.up_encoders.3.self_attn.dropout            | Dropout                             | 0.00M
  flow.encoder.up_encoders.3.self_attn.linear_pos         | Linear                              | 0.26M
  flow.encoder.up_encoders.3.feed_forward                 | PositionwiseFeedForward             | 2.10M
  flow.encoder.up_encoders.3.feed_forward.w_1             | Linear                              | 1.05M
  flow.encoder.up_encoders.3.feed_forward.dropout         | Dropout                             | 0.00M
  flow.encoder.up_encoders.3.feed_forward.w_2             | Linear                              | 1.05M
  flow.encoder.up_encoders.3.norm_ff                      | LayerNorm                           | 0.00M
  flow.encoder.up_encoders.3.norm_mha                     | LayerNorm                           | 0.00M
  flow.encoder.up_encoders.3.dropout                      | Dropout                             | 0.00M
  flow.encoder_proj                                       | Linear                              | 0.04M
  flow.decoder                                            | CausalConditionalCFM                | 71.30M
  flow.decoder.estimator                                  | CausalConditionalDecoder            | 71.30M
  flow.decoder.estimator.time_embeddings                  | SinusoidalPosEmb                    | 0.00M
  flow.decoder.estimator.time_mlp                         | TimestepEmbedding                   | 1.38M
  flow.decoder.estimator.time_mlp.linear_1                | Linear                              | 0.33M
  flow.decoder.estimator.time_mlp.act                     | SiLU                                | 0.00M
  flow.decoder.estimator.time_mlp.linear_2                | Linear                              | 1.05M
  flow.decoder.estimator.down_blocks                      | ModuleList                          | 5.19M
  flow.decoder.estimator.down_blocks.0                    | ModuleList                          | 5.19M
  flow.decoder.estimator.down_blocks.0.0                  | CausalResnetBlock1D                 | 0.79M
  flow.decoder.estimator.down_blocks.0.0.mlp              | Sequential                          | 0.26M
  flow.decoder.estimator.down_blocks.0.0.mlp.0            | Mish                                | 0.00M
  flow.decoder.estimator.down_blocks.0.0.mlp.1            | Linear                              | 0.26M
  flow.decoder.estimator.down_blocks.0.0.block1           | CausalBlock1D                       | 0.25M
  flow.decoder.estimator.down_blocks.0.0.block1.block     | Sequential                          | 0.25M
  flow.decoder.estimator.down_blocks.0.0.block1.block.0   | CausalConv1d                        | 0.25M
  flow.decoder.estimator.down_blocks.0.0.block1.block.1   | Transpose                           | 0.00M
  flow.decoder.estimator.down_blocks.0.0.block1.block.2   | LayerNorm                           | 0.00M
  flow.decoder.estimator.down_blocks.0.0.block1.block.3   | Transpose                           | 0.00M
  flow.decoder.estimator.down_blocks.0.0.block1.block.4   | Mish                                | 0.00M
  flow.decoder.estimator.down_blocks.0.0.block2           | CausalBlock1D                       | 0.20M
  flow.decoder.estimator.down_blocks.0.0.block2.block     | Sequential                          | 0.20M
  flow.decoder.estimator.down_blocks.0.0.block2.block.0   | CausalConv1d                        | 0.20M
  flow.decoder.estimator.down_blocks.0.0.block2.block.1   | Transpose                           | 0.00M
  flow.decoder.estimator.down_blocks.0.0.block2.block.2   | LayerNorm                           | 0.00M
  flow.decoder.estimator.down_blocks.0.0.block2.block.3   | Transpose                           | 0.00M
  flow.decoder.estimator.down_blocks.0.0.block2.block.4   | Mish                                | 0.00M
  flow.decoder.estimator.down_blocks.0.0.res_conv         | Conv1d                              | 0.08M
  flow.decoder.estimator.down_blocks.0.1                  | ModuleList                          | 4.20M
  flow.decoder.estimator.down_blocks.0.1.0                | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.down_blocks.0.1.0.norm1          | LayerNorm                           | 0.00M
  flow.decoder.estimator.down_blocks.0.1.0.attn1          | Attention                           | 0.52M
  flow.decoder.estimator.down_blocks.0.1.0.attn1.to_q     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.0.attn1.to_k     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.0.attn1.to_v     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.0.attn1.to_out   | ModuleList                          | 0.13M
  flow.decoder.estimator.down_blocks.0.1.0.attn1.to_out.0 | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.0.attn1.to_out.1 | Dropout                             | 0.00M
  flow.decoder.estimator.down_blocks.0.1.0.norm3          | LayerNorm                           | 0.00M
  flow.decoder.estimator.down_blocks.0.1.0.ff             | FeedForward                         | 0.53M
  flow.decoder.estimator.down_blocks.0.1.0.ff.net         | ModuleList                          | 0.53M
  flow.decoder.estimator.down_blocks.0.1.0.ff.net.0       | GELU                                | 0.26M
  flow.decoder.estimator.down_blocks.0.1.0.ff.net.0.proj  | Linear                              | 0.26M
  flow.decoder.estimator.down_blocks.0.1.0.ff.net.1       | Dropout                             | 0.00M
  flow.decoder.estimator.down_blocks.0.1.0.ff.net.2       | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.down_blocks.0.1.1                | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.down_blocks.0.1.1.norm1          | LayerNorm                           | 0.00M
  flow.decoder.estimator.down_blocks.0.1.1.attn1          | Attention                           | 0.52M
  flow.decoder.estimator.down_blocks.0.1.1.attn1.to_q     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.1.attn1.to_k     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.1.attn1.to_v     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.1.attn1.to_out   | ModuleList                          | 0.13M
  flow.decoder.estimator.down_blocks.0.1.1.attn1.to_out.0 | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.1.attn1.to_out.1 | Dropout                             | 0.00M
  flow.decoder.estimator.down_blocks.0.1.1.norm3          | LayerNorm                           | 0.00M
  flow.decoder.estimator.down_blocks.0.1.1.ff             | FeedForward                         | 0.53M
  flow.decoder.estimator.down_blocks.0.1.1.ff.net         | ModuleList                          | 0.53M
  flow.decoder.estimator.down_blocks.0.1.1.ff.net.0       | GELU                                | 0.26M
  flow.decoder.estimator.down_blocks.0.1.1.ff.net.0.proj  | Linear                              | 0.26M
  flow.decoder.estimator.down_blocks.0.1.1.ff.net.1       | Dropout                             | 0.00M
  flow.decoder.estimator.down_blocks.0.1.1.ff.net.2       | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.down_blocks.0.1.2                | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.down_blocks.0.1.2.norm1          | LayerNorm                           | 0.00M
  flow.decoder.estimator.down_blocks.0.1.2.attn1          | Attention                           | 0.52M
  flow.decoder.estimator.down_blocks.0.1.2.attn1.to_q     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.2.attn1.to_k     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.2.attn1.to_v     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.2.attn1.to_out   | ModuleList                          | 0.13M
  flow.decoder.estimator.down_blocks.0.1.2.attn1.to_out.0 | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.2.attn1.to_out.1 | Dropout                             | 0.00M
  flow.decoder.estimator.down_blocks.0.1.2.norm3          | LayerNorm                           | 0.00M
  flow.decoder.estimator.down_blocks.0.1.2.ff             | FeedForward                         | 0.53M
  flow.decoder.estimator.down_blocks.0.1.2.ff.net         | ModuleList                          | 0.53M
  flow.decoder.estimator.down_blocks.0.1.2.ff.net.0       | GELU                                | 0.26M
  flow.decoder.estimator.down_blocks.0.1.2.ff.net.0.proj  | Linear                              | 0.26M
  flow.decoder.estimator.down_blocks.0.1.2.ff.net.1       | Dropout                             | 0.00M
  flow.decoder.estimator.down_blocks.0.1.2.ff.net.2       | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.down_blocks.0.1.3                | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.down_blocks.0.1.3.norm1          | LayerNorm                           | 0.00M
  flow.decoder.estimator.down_blocks.0.1.3.attn1          | Attention                           | 0.52M
  flow.decoder.estimator.down_blocks.0.1.3.attn1.to_q     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.3.attn1.to_k     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.3.attn1.to_v     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.3.attn1.to_out   | ModuleList                          | 0.13M
  flow.decoder.estimator.down_blocks.0.1.3.attn1.to_out.0 | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.down_blocks.0.1.3.attn1.to_out.1 | Dropout                             | 0.00M
  flow.decoder.estimator.down_blocks.0.1.3.norm3          | LayerNorm                           | 0.00M
  flow.decoder.estimator.down_blocks.0.1.3.ff             | FeedForward                         | 0.53M
  flow.decoder.estimator.down_blocks.0.1.3.ff.net         | ModuleList                          | 0.53M
  flow.decoder.estimator.down_blocks.0.1.3.ff.net.0       | GELU                                | 0.26M
  flow.decoder.estimator.down_blocks.0.1.3.ff.net.0.proj  | Linear                              | 0.26M
  flow.decoder.estimator.down_blocks.0.1.3.ff.net.1       | Dropout                             | 0.00M
  flow.decoder.estimator.down_blocks.0.1.3.ff.net.2       | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.down_blocks.0.2                  | CausalConv1d                        | 0.20M
  flow.decoder.estimator.mid_blocks                       | ModuleList                          | 59.13M
  flow.decoder.estimator.mid_blocks.0                     | ModuleList                          | 4.93M
  flow.decoder.estimator.mid_blocks.0.0                   | CausalResnetBlock1D                 | 0.72M
  flow.decoder.estimator.mid_blocks.0.0.mlp               | Sequential                          | 0.26M
  flow.decoder.estimator.mid_blocks.0.0.mlp.0             | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.0.0.mlp.1             | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.0.0.block1            | CausalBlock1D                       | 0.20M
  flow.decoder.estimator.mid_blocks.0.0.block1.block      | Sequential                          | 0.20M
  flow.decoder.estimator.mid_blocks.0.0.block1.block.0    | CausalConv1d                        | 0.20M
  flow.decoder.estimator.mid_blocks.0.0.block1.block.1    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.0.0.block1.block.2    | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.0.0.block1.block.3    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.0.0.block1.block.4    | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.0.0.block2            | CausalBlock1D                       | 0.20M
  flow.decoder.estimator.mid_blocks.0.0.block2.block      | Sequential                          | 0.20M
  flow.decoder.estimator.mid_blocks.0.0.block2.block.0    | CausalConv1d                        | 0.20M
  flow.decoder.estimator.mid_blocks.0.0.block2.block.1    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.0.0.block2.block.2    | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.0.0.block2.block.3    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.0.0.block2.block.4    | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.0.0.res_conv          | Conv1d                              | 0.07M
  flow.decoder.estimator.mid_blocks.0.1                   | ModuleList                          | 4.20M
  flow.decoder.estimator.mid_blocks.0.1.0                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.0.1.0.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.0.1.0.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.0.1.0.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.0.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.0.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.0.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.0.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.0.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.0.1.0.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.0.1.0.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.0.1.0.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.0.1.0.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.0.1.0.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.0.1.0.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.0.1.0.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.0.1.1                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.0.1.1.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.0.1.1.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.0.1.1.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.1.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.1.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.1.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.1.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.1.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.0.1.1.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.0.1.1.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.0.1.1.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.0.1.1.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.0.1.1.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.0.1.1.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.0.1.1.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.0.1.2                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.0.1.2.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.0.1.2.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.0.1.2.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.2.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.2.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.2.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.2.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.0.1.2.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.0.1.2.norm3           | LayerNorm                           | 0.00M
